,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
191,cairns,145.7667,-16.9167,82.20200000000008,82.4,57,40,8.23,AU,1619747112
192,roebourne,117.1333,-20.7833,90.37400000000002,90.37400000000002,21,0,3.78,AU,1619746984
193,ixtapa,-105.2,20.7,78.40400000000005,78.80000000000001,73,1,4.12,MX,1619747140
194,perbaungan,98.956,3.5679,78.80000000000001,78.80000000000001,89,40,2.06,ID,1619747141
195,ilulissat,-51.1,69.2167,33.8,33.8,75,100,1.03,GL,1619747142
196,ust-kulom,53.6902,61.6864,30.758000000000003,30.758000000000003,69,11,1.93,RU,1619747143
197,naze,129.4833,28.3667,71.6,71.6,68,40,1.54,JP,1619747009
198,hollola,25.4333,61.05,26.00600000000003,26.00600000000003,91,6,1.65,FI,1619747144
199,seoul,126.9778,37.5683,53.65400000000005,55.400000000000006,67,75,1.03,KR,1619746551
200,francisco sa,-43.4883,-16.4758,73.4,73.4,68,0,2.06,BR,1619747145
201,moron,-58.6198,-34.6534,63.62600000000009,66.0020000000001,81,0,2.28,AR,1619747145
202,erdenet,104.0833,49.0333,37.90400000000005,37.90400000000005,66,99,0.83,MN,1619747146
203,winchester,-1.3187,51.0651,37.79600000000005,41.0,75,57,2.57,GB,1619747147
204,sigli,95.9609,5.3848,81.8600000000001,81.8600000000001,77,100,0.92,ID,1619747147
205,hasaki,140.8333,35.7333,73.56200000000007,75.0020000000001,46,20,4.63,JP,1619746966
206,coloso,-75.3615,9.4915,76.5680000000001,76.5680000000001,86,98,1.59,CO,1619747148
207,kattivakkam,80.3167,13.2167,84.61400000000003,84.992,79,40,4.52,IN,1619747149
208,blytheville,-89.919,35.9273,67.71200000000006,68.0,83,1,2.06,US,1619747150
209,havoysund,24.6622,70.9963,26.6,26.6,74,75,8.23,NO,1619747151
210,windhoek,17.0832,-22.5594,55.00400000000005,55.00400000000005,52,0,1.44,,1619746862
211,ciudad bolivar,-63.5497,8.1222,75.992,75.992,72,98,3.7,VE,1619747152
212,popondetta,148.2534,-8.7537,88.68200000000002,88.68200000000002,54,54,1.96,PG,1619747153
213,fortuna,-124.1573,40.5982,56.89400000000007,59.0,58,20,5.14,US,1619747153
214,kurashiki,133.7667,34.5833,62.33000000000005,66.992,88,40,2.57,JP,1619747154
215,hun,15.9477,29.1268,81.80600000000004,81.80600000000004,8,70,3.27,LY,1619747155
216,chuy,-53.4616,-33.6971,56.10200000000008,56.10200000000008,79,0,1.81,UY,1619746978
217,kawardha,81.25,22.0167,87.87200000000004,87.87200000000004,11,1,2.06,IN,1619747156
218,biak,122.8766,-0.9131,83.46200000000006,83.46200000000006,64,50,0.95,ID,1619747156
219,abeche,20.8324,13.8292,79.80799999999999,79.80799999999999,10,40,3.36,TD,1619747158
220,vestmannaeyjar,-20.2734,63.4427,43.141999999999996,43.141999999999996,77,93,2.72,IS,1619746958
221,makueni,37.6203,-1.8041,62.34800000000003,62.34800000000003,96,79,1.11,KE,1619747159
222,geraldton,114.6,-28.7667,68.0,68.0,60,75,7.72,AU,1619747159
223,ballina,153.5667,-28.8667,65.82200000000003,66.2,94,75,4.12,AU,1619747160
224,nuevo progreso,-97.95,23.1667,79.39400000000006,80.00600000000003,72,8,0.89,MX,1619747161
225,kudahuvadhoo,72.8944,2.6708,83.084,83.084,71,33,1.37,MV,1619747161
226,cabo san lucas,-109.9124,22.8909,74.69600000000005,75.2,38,1,5.14,MX,1619746936
227,asau,26.4,46.4333,48.992,48.992,61,21,2.4,RO,1619747163
228,severo-kurilsk,156.125,50.6789,39.56000000000008,39.56000000000008,79,19,2.87,RU,1619747163
229,port pirie,138.0167,-33.1833,75.2,75.2,35,0,4.12,AU,1619747164
230,chhabra,76.8333,24.6667,87.69200000000001,87.69200000000001,19,41,3.54,IN,1619747164
231,codrington,141.9667,-38.2667,72.158,72.158,39,0,4.66,AU,1619747165
232,agadir,-9.5982,30.4202,60.8,60.8,88,20,3.6,MA,1619747127
233,hengyang,112.615,26.8881,74.76800000000009,74.76800000000009,58,0,2.23,CN,1619747166
234,piedras negras,-100.5167,28.7,72.89600000000007,73.99400000000007,60,0,1.34,MX,1619747167
235,sarny,26.6019,51.338,47.73200000000001,47.73200000000001,95,71,3.25,UA,1619747168
236,ulaangom,92.0667,49.9811,57.68600000000007,57.68600000000007,36,72,0.5,MN,1619746937
237,aksarka,67.7975,66.5606,23.68399999999999,23.68399999999999,94,100,3.51,RU,1619747169
238,mount gambier,140.7667,-37.8333,68.0,68.0,60,0,3.6,AU,1619747170
